EquipmentID,Name,Cost,Weight,MagicItemID,NOTES
1,Abacus,2 gp,2,0,A tool to do calculations.
2,Acid (Vial),25 gp,1,0,"As an action, you can splash the contents of this vial onto a creature within 5 feet of you or throw the vial up to 20 feet, shattering it on impact. In either case, make a ranged attack against a creature or object, treating the acid as an improvised weapon. On a hit, the target takes 2d6 acid damage."
3,Alchemist's fire (flask),50 gp,1,0,"This sticky, adhesive fluid ignites when exposed to air. As an action, you can throw this flask up to 20 feet, shattering it on impact. Make a ranged attack against a creature or object, treating the alchemist's fire as an improvised weapon. On a hit, the target takes 1d4 fire damage at the start of each of its turns. A creature can end this damage by using its action to make a DC 10 Dexterity check to extinguish the flames."
4,Amulet - Holy Symbol,5 gp,1,0,"A holy symbol is a representation of a god or pantheon. Appendix B lists the symbols commonly associated with many gods in the multiverse. A cleric or paladin can use a holy symbol as a spellcasting focus, as described in chapter 10. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield."
5,Antitoxion (vial),50 gp,0,0,A creature that drinks this vial of liquid gains advantage on saving throws against poison for 1 hour. It confers no benefit to undead or constructs.
6,Arrow,5 cp,0.05,0,Needed to use a Bow.
7,Arrows (20),1 gp,1,0,Bundle of Arrows.
8,Backpack,2 gp,5,0,1 cubic foot/30 pounds of gear
9,Ball bearing,0.1 cp,0.002,0,"As an action, you can spill these tiny metal balls from their pouch to cover a level area 10 feet square. A creature moving across the covered area must succeed on a DC 10 Dexterity saving throw or fall prone. A creature moving through the area at half speed doesn't need to make the saving throw."
10,Ball bearings (1000),1 gp,2,0,"As an action, you can spill these tiny metal balls from their pouch to cover a level area 10 feet square. A creature moving across the covered area must succeed on a DC 10 Dexterity saving throw or fall prone. A creature moving through the area at half speed doesn't need to make the saving throw."
11,Barrel,2 gp,70,0,"40 gallons liquid, 4 cubic feet solid"
12,Basic Poison (vial),100 gp,0,0,"You can use the poison in this vial to coat one slashing or piercing weapon or up to three pieces of ammunition. Applying the poison takes an action. A creature hit by the poisoned weapon or ammunition must make a DC 10 Constitution saving throw or take 1d4 poison damage. Once applied, the poison retains potency for 1 minute before drying."
13,Basket,4 sp,2,0,2 cubic feet/40 pounds of gear
14,Bedroll,1 gp,7,0,Sleeping bag used typically while traveling.
15,Bell,1 gp,0,0,Small bell. Can be made of most metals.
16,Blanket,5 sp,3,0,A Piece of fabric that can be used to keep warm.
17,Block and tackle,1 gp,5,0,"A set of pulleys with a cable threaded through them and a hook to attach to objects, a block and tackle allows you to hoist up to four times the weight you can normally lift."
18,Blowgun needle,2 cp,0.02,0,Needed to use a Blowgun.
19,Blowgun needles (50),1 gp,1,0,Pack of Needles.
20,Book,25 gp,5,0,"A book might contain poetry, historical accounts, information pertaining to a particular field of lore, diagrams and notes on gnomish contraptions, or just about anything else that can be represented using text or pictures. A book of spells is a spellbook (described later in this section)."
21,"Bottle, glass",2 gp,2,0,1 1/2 pints liquid
22,Bucket,5 cp,2,0,"3 gallons liquid, 1/2 cubic foot solid"
23,Burglar's Pack,16 gp,46.5,0,"Includes a backpack, a bag of 1,000 ball bearings, 10 feet of string, a bell, 5 candles, a crowbar, a hammer, 10 pitons, a hooded lantern, 2 flasks of oil, 5 days rations, a tinderbox, and a waterskin. The pack also has 50 feet of hempen rope strapped to the side of it."
