Name,Race,TypeOfName
Climber,Dragonborn,Childhood Name
Earbender,Dragonborn,Childhood Name
Leaper,Dragonborn,Childhood Name
Pious,Dragonborn,Childhood Name
Shieldbiter,Dragonborn,Childhood Name
Zealous,Dragonborn,Childhood Name
Clethtinthiallor,Dragonborn,Clan Name
Daardendrian,Dragonborn,Clan Name
Delmirev,Dragonborn,Clan Name
Drachedandion,Dragonborn,Clan Name
Fenkenkabradon,Dragonborn,Clan Name
Kepeshkmolik,Dragonborn,Clan Name
Kerrhylon,Dragonborn,Clan Name
Kimbatuul,Dragonborn,Clan Name
Linxakasendalor,Dragonborn,Clan Name
Myastan,Dragonborn,Clan Name
Nemmonis,Dragonborn,Clan Name
Norixius,Dragonborn,Clan Name
Ophinshtalajiir,Dragonborn,Clan Name
Prexijandilin,Dragonborn,Clan Name
Shestendeliath,Dragonborn,Clan Name
Turnuroth,Dragonborn,Clan Name
Verthisathurgiesh,Dragonborn,Clan Name
Yarjerit,Dragonborn,Clan Name
Akra,Dragonborn,Female Name
Biri,Dragonborn,Female Name
Daar,Dragonborn,Female Name
Farideh,Dragonborn,Female Name
Harann,Dragonborn,Female Name
Havilar,Dragonborn,Female Name
Jheri,Dragonborn,Female Name
Kava,Dragonborn,Female Name
Korinn,Dragonborn,Female Name
Mishann,Dragonborn,Female Name
Nala,Dragonborn,Female Name
Perra,Dragonborn,Female Name
Raiann,Dragonborn,Female Name
Sora,Dragonborn,Female Name
Surina,Dragonborn,Female Name
Thava,Dragonborn,Female Name
Uadjit,Dragonborn,Female Name
Arjhan,Dragonborn,Male Name
Balasar,Dragonborn,Male Name
Bharash,Dragonborn,Male Name
Donaar,Dragonborn,Male Name
Ghesh,Dragonborn,Male Name
Heskan,Dragonborn,Male Name
Kriv,Dragonborn,Male Name
Medrash,Dragonborn,Male Name
Mehen,Dragonborn,Male Name
Nadarr,Dragonborn,Male Name
Pandjed,Dragonborn,Male Name
Patrin,Dragonborn,Male Name
Rhogar,Dragonborn,Male Name
Shamash,Dragonborn,Male Name
Shedinn,Dragonborn,Male Name
Tarhun,Dragonborn,Male Name
Torinn,Dragonborn,Male Name
Balderk,Dwarf,Clan Name
Battlehammer,Dwarf,Clan Name
Brawnanvil,Dwarf,Clan Name
Dankil,Dwarf,Clan Name
Fireforge,Dwarf,Clan Name
Frostbeard,Dwarf,Clan Name
Gorunn,Dwarf,Clan Name
Holderhek,Dwarf,Clan Name
Ironfist,Dwarf,Clan Name
Loderr,Dwarf,Clan Name
Lutgehr,Dwarf,Clan Name
Rumnaheim,Dwarf,Clan Name
Strakeln,Dwarf,Clan Name
Torunn,Dwarf,Clan Name
Ungart ,Dwarf,Clan Name
Amber,Dwarf,Female Name
Artin,Dwarf,Female Name
Audhild,Dwarf,Female Name
Bardryn,Dwarf,Female Name
Dagnal,Dwarf,Female Name
Diesa,Dwarf,Female Name
Eldeth,Dwarf,Female Name
Falkrunn,Dwarf,Female Name
Finellen,Dwarf,Female Name
Gunnloda,Dwarf,Female Name
Gurdis,Dwarf,Female Name
Helja,Dwarf,Female Name
Hlin,Dwarf,Female Name
Ilde,Dwarf,Female Name
Kathra,Dwarf,Female Name
Kristryd,Dwarf,Female Name
Liftrasa,Dwarf,Female Name
Mardred,Dwarf,Female Name
Riswynn,Dwarf,Female Name
Sannl,Dwarf,Female Name
Torbera,Dwarf,Female Name
Torgga,Dwarf,Female Name
Vistra,Dwarf,Female Name
Adrik,Dwarf,Male Name
Alberich,Dwarf,Male Name
Baern,Dwarf,Male Name
Barendd,Dwarf,Male Name
Brottor,Dwarf,Male Name
Bruenor,Dwarf,Male Name
Dain,Dwarf,Male Name
Darrak,Dwarf,Male Name
Delg,Dwarf,Male Name
Eberk,Dwarf,Male Name
Einkil,Dwarf,Male Name
Fargrim,Dwarf,Male Name
Flint,Dwarf,Male Name
Gardain,Dwarf,Male Name
Harbek,Dwarf,Male Name
Kildrak,Dwarf,Male Name
Morgran,Dwarf,Male Name
Orsik,Dwarf,Male Name
Oskar,Dwarf,Male Name
Rangrim,Dwarf,Male Name
Rurik,Dwarf,Male Name
Taklinn,Dwarf,Male Name
Thoradin,Dwarf,Male Name
Thorin,Dwarf,Male Name
Tordek,Dwarf,Male Name
Traubon,Dwarf,Male Name
Travok,Dwarf,Male Name
Ulfgar,Dwarf,Male Name
Veit,Dwarf,Male Name
Vondal,Dwarf,Male Name
Ara,Elf,Child Name
Bryn,Elf,Child Name
Del,Elf,Child Name
Eryn,Elf,Child Name
Faen,Elf,Child Name
Innil,Elf,Child Name
Lael,Elf,Child Name
Mella,Elf,Child Name
Naeris,Elf,Child Name
Naill,Elf,Child Name
Phann,Elf,Child Name
Rael,Elf,Child Name
Rinn,Elf,Child Name
Sai,Elf,Child Name
Syllin,Elf,Child Name
Thia,Elf,Child Name
Vall,Elf,Child Name
Amakiir(Gemflower),Elf,Family Name(Common Translations)
Amastacia(Starflower),Elf,Family Name(Common Translations)
Galanodel(Moonwhisper),Elf,Family Name(Common Translations)
Holimion(Diamonddew),Elf,Family Name(Common Translations)
Ilphelkiir(Gemblossom),Elf,Family Name(Common Translations)
Liadon(Silverfrond),Elf,Family Name(Common Translations)
Meliamne(Oakenheel),Elf,Family Name(Common Translations)
Naïlo(Nightbreeze),Elf,Family Name(Common Translations)
Siannodel(Moonbrook),Elf,Family Name(Common Translations)
Xiloscient(Goldpetal),Elf,Family Name(Common Translations)
Adrie,Elf,Female Name
Althaea,Elf,Female Name
Anastrianna,Elf,Female Name
Andraste,Elf,Female Name
Antinua,Elf,Female Name
Bethrynna,Elf,Female Name
Birel,Elf,Female Name
Caelynn,Elf,Female Name
Drusilia,Elf,Female Name
Enna,Elf,Female Name
Felosial,Elf,Female Name
Ielenia,Elf,Female Name
Jelenneth,Elf,Female Name
Keyleth,Elf,Female Name
Leshanna,Elf,Female Name
Lia,Elf,Female Name
Meriele,Elf,Female Name
Mialee,Elf,Female Name
Naivara,Elf,Female Name
Quelenna,Elf,Female Name
Quillathe,Elf,Female Name
Sariel,Elf,Female Name
Shanairra,Elf,Female Name
Shava,Elf,Female Name
Silaqui,Elf,Female Name
Theirastra,Elf,Female Name
Thia,Elf,Female Name
Vadania,Elf,Female Name
Valanthe,Elf,Female Name
Xanaphia,Elf,Female Name
Adran,Elf,Male Name
Aelar,Elf,Male Name
Aramil,Elf,Male Name
Arannis,Elf,Male Name
Aust,Elf,Male Name
Beiro,Elf,Male Name
Berrian,Elf,Male Name
Carric,Elf,Male Name
Enialis,Elf,Male Name
Erdan,Elf,Male Name
Erevan,Elf,Male Name
Galinndan,Elf,Male Name
Hadarai,Elf,Male Name
Heian,Elf,Male Name
Himo,Elf,Male Name
Immeral,Elf,Male Name
Ivellios,Elf,Male Name
Laucian,Elf,Male Name
Mindartis,Elf,Male Name
Paelias,Elf,Male Name
Peren,Elf,Male Name
Quarion,Elf,Male Name
Riardon,Elf,Male Name
Rolen,Elf,Male Name
Soveliss,Elf,Male Name
Thamior,Elf,Male Name
Tharivol,Elf,Male Name
Theren,Elf,Male Name
Varis,Elf,Male Name
Beren,Gnome,Clan Name
Daergel,Gnome,Clan Name
Folkor,Gnome,Clan Name
Garrick,Gnome,Clan Name
Murnig,Gnome,Clan Name
Nackle,Gnome,Clan Name
Ningel,Gnome,Clan Name
Raulnor,Gnome,Clan Name
Scheppen,Gnome,Clan Name
Timbers,Gnome,Clan Name
Turen,Gnome,Clan Name
Bimpnottin,Gnome,Female Name
Breena,Gnome,Female Name
