MagicID,Name,CasterType,Type,MagicItemID,Level,CastingTime,RangeOfSpell,Components,Duration,Saves,NOTES
0,"Acid Splash","Sorcerer, Wizard",Conjuration,0,0,"1 action","60 Feet","V, S",Instantaneous,Dexterity,"You throw a bubble of acid at a creature you can see, or at two creatures within 5 feet of each other, and force them to pass a Dexterity save or take 1d6 acid damage. This cantrip's damage die increases at levels 5, 11, and 17."
1,"Blade Ward","Bard, Sorcerer, Warlock, Wizard",Abjuration,0,0,"1 action",Self,"V, S","1 round",-,"Tracing an arcane sigil in the air, you grant yourself resistance to bludgeoning, piercing, and slashing damage dealt by weaponsuntil the end of your next turn."
2,"Chill Touch","Sorcerer, Warlock, Wizard",Necromancy,0,0,"1 action","120 Feet","V, S",Instantaneous,"Attack roll","You use your action to make a ghostly, skeletal hand that attempts to cling to a creature you can see within range. Make a ranged spell attack. On hit, the hand grabs the target, dealing 1d8 necrotic damage. The hand then remains there until the start of your next turn. During this time, the target is unable to regain hit points. If you hit an undead creature with this spell, it has disadvantage on attack rolls against you until the end of your next turn. This cantrip's damage die increases at levels 5, 11, and 17."
3,"Dancing Lights","Bard, Sorcerer, Wizard",Evocation,0,0,"1 action","120 Feet","V, S, M, C","Up to 1 Minute",-,"Needed Material - Phosphorus, wychwood or glowworm. 
You create up to four torch-sized lights that hover in the air. Each shed dim light in a 10-foot radius. You can also form them into one glowing humanoid shape. As a bonus action, you can move the lights up to 60 feet. Each light must be within at least 20 feet of another one. A light goes out if it exceeds the ranges of the spell."
4,Druidcraft,Druid,Transmutation,0,0,"1 action","30 Feet","V, S",Instantaneous,-,"You use your action to create one of the following effects within range:
You create a harmless sensory effect that predicts what the weather will be for the next 24 hours. This effect lasts for 6 seconds, or 1 round.
You make a flower blossom, a seed pod open, or a leaf bud bloom.
You create a harmless nature-related sensory effect. The effect must fit in a 5-foot cube.
You light or put out a small flame."
5,"Eldritch Blast",Warlock,Evocation,0,0,"1 action","120 Feet","V, S",Instantaneous,"Attack roll","You use your action to create a beam of magical energy and hurl it at a creature you can see within range. Make a ranged spell attack. On hit, the target takes 1d10 force damage. The spell creates more beams as you level. At 5th, it makes two beams; at 11th, it makes three; and at 17th, it makes four. The beams can be directed at the same target or different ones. Each beam gets its own attack roll."
6,"Fire Bolt","Sorcerer, Wizard",Evocation,0,0,"1 action","120 Feet","V, S",Instantaneous,"Attack roll","You hurl a small flame at a creature or object, making a ranged spell attack. The target takes 1d10 fire damage on hit. The fire ignites any flammable object hit by it that isn't being worn or carried. The spell's number of damage dice increases by one at levels 5, 11, and 17."
7,Friends,"Bard, Sorcerer, Warlock, Wizard",Enchantment,0,0,"1 action",Self,"S, M, C","Up to 1 Minute",-,"For the duration , you have advantage on all Charisma checks directed towards you, When the spell ends, the creature realizes that you used magic to influence its mood and becomes hostile towards you. A creature prone to violence might attack you. Another creature might seek retribution in other ways (at the DM's discretion), depending on the nature of your interaction with it."
8,Guidance,"Cleric, Druid",Divination,0,0,"1 action",Touch,"V, S, C","Up to 1 Minute",-,"You touch a willing creature, granting it a 1d4 bonus to one ability check of its choice. The spell then ends. The target can roll the die before or after making the check."
9,Light,"Bard, Cleric, Sorcerer, Wizard",Evocation,0,0,"1 action",Touch,"V, M","1 hour",-,"You use your action to touch an object no longer than 10 feet in any dimension, causing it to shine bright light of a color you choose in a 20-foot radius and dim light for an additional 20 feet. If the object is completely covered, the light is blocked. The spell ends if you cast it again or dismiss the light as an action. If your target is an object held or worn by a hostile creature, the creature must pass a Dexterity save to avoid being lit by the spell."
10,"Mage Hand","Bard, Sorcerer, Warlock, Wizard",Conjuration,0,0,"1 action","30 Feet","V, S","1 minute",-,"You use your action to create a spectral, floating hand at a point you choose. Once made, you can use your action to control the hand. It can move up to 30 feet at a time, but can't be more than 30 feet away from you or it will vanish. The hand is able to manipulate objects, open an unlocked door or container, put away or get an item out of an open container, or pour out a vial's contents. It can't attack, activate magic items, or carry more than 10 pounds. You use an action to dismiss the hand before the end of the duration."
11,Mending,"Bard, Cleric, Druid, Socerers, Wizard",Transmutation,0,0,"1 minute",Touch,"V, S, M",Instantaneous,-,"You take a minute to cast this spell, and it fixes a break or tear in an object you touch while leaving no traces of the damage. The damage can't be longer than 1 foot in any dimension. The spell can fix constructs and magic items, but can't restore magical properties"
12,Message,"Bard, Sorcerer, Wizard",Transmutation,0,0,"1 action","120 feet","V, S, M","1 round",-,"Needed Material - Copper Wire
You point at a creature and whisper a message that only it can hear, and it can whisper back a reply that only you hear. You can cast through objects if you know the target and that it's beyond the wall, but magical silence, 1 foot of stone, 1 inch of metals, a thin sheet of lead, and 3 feet of wood will block the spell. The spell can move through corners and other openings."
13,"Minor Illusion","Bard, Sorcerer, Warlock, Wizard",Illusion,0,0,"1 action","30 feet","S, M","1 minute",-,"Needed Material - Fleece
You create a sound or an image of an object that lasts for the duration. The illusion ends early if you dismiss it as an action or cast this spell again. If you create a sound, it can be any volume and noise. The sound can continue unabated for the duration, or you can make sounds at different times. If you create an image of an object, it must be no larger than a 5-foot cube. The image can't create any sensory effects. Physical interaction with the image reveals it to be an illusion. A creature can use its action to make an Investigation check on the illusion. If it succeeds, the illusion becomes faint to it."
14,"Poison Spray","Druid, Sorcerer, Warlock,",Conjuration,0,0,"1 action","10 Feet","V, S",Instantaneous,Constitution,"You throw a puff of poisonous gas at a creature you can see, forcing them to pass a Constitution save or take 1d12 poison damage. The spell's damage die increases by one at levels 5, 11, and 17."
15,Prestidigitation,"Bard, Sorcerer, Warlock, Wizard",Transmutation,0,0,"1 action","10 Feet","V, S",Instantaneous,-,"You create one of the following effects:
You create a harmless sensory effect.
You light or put out a small fire.
You clean or soil an object no larger than 1 cubic foot.
You chill, warm, or flavor up to 1 cubic foot of nonliving material for 1 hour.
You make a small mark appear on an object or surface for 1 hour.
You create a nonmagical trinket or a hand-sized illusory image. It lasts until the end of your next turn.
If you cast this spell multiple times, you can have up to three of its non-instantaneous effects active at a time, and you can dismiss an effect as an action."
16,"Produce Flame",Druid,Conjuration,0,0,"1 action",Self,"V, S","10 minutes",-,"A flickering flame appears in your hand. The flame remains there for the duration and harms neither you nor your equipment. The flame sheds bright light in a 10-foot radius and dim light for an additional 10 feet. The spell ends if you dismiss it as an action or if you cast it again. You can also attack with the flame, although doing so ends the spell. When you cast this spell, or as an action on a later turn, you can hurl the flame at a creature within 30 feet of you. Make a ranged spell attack. On a hit, the target takes 1d8 fire damage. This spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8)."
17,"Ray of Frost","Sorcerer, Wizard",Evocation,0,0,"1 action","60 feet","V, S",Instantaneous,"Attack roll","A frigid beam of blue-white light streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, it takes 1d8 cold damage, and its speed is reduced by 10 feet until the start of your next turn. The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8)."
18,Resistance,"Cleric, Druid",Abjuration,0,0,"1 action",Touch,"V, S, M, C","Up to 1 minute",-,"Needed Material - Miniature cloak
You use your action to touch a willing creature, granting it a 1d4 bonus to one saving throw of its choice. The spell then ends. The target can roll the die before or after making the check"
19,"Sacred Flame",Cleric,Evocation,0,0,"1 action","60 feet","V, S",Instantaneous,Dexterity,"Flame-like radiance descends on a creature that you can see within range. The target must succeed on a Dexterity saving throw or take 1d8 radiant damage. The target gains no benefit from cover for this saving throw. The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8)."
20,Shillelagh,Druid,Transmutation,0,0,"1 bonus action",Touch,"V, S, M","1 minute",-,"Needed Material - mistletoe, shamrock club or quarterstaff
You use your bonus action to touch a club or quarterstaff. For the duration thereafter, you can use your spellcasting ability modifier instead of Strength for the weapon, and its damage die becomes a d8. It also becomes a magical weapon if it isn't already. The spell ends if you cast it again or if you let go of the weapon."
21,"Shocking Grasp","Sorcerer, Wizard",Evocation,0,0,"1 action",Touch,"V, S",Instantaneous,"Attack roll","Lightning springs from your hand to deliver a shock to a creature you try to touch. Make a melee spell attack against the target. You have advantage on the attack roll if the target is wearing armor made of metal. On a hit, the target takes 1d8 lightning damage, and it can't take reactions until the start of its next turn. The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8)."
22,"Spare the Dying",Cleric,Necromancy,0,0,"1 action",Touch,"V, S",Instantaneous,-,"You touch a living creature that has 0 hit points. The creature becomes stable. This spell has no effect on undead or constructs."
